Testament,Book,Chapter,Verse,Content
"New","40","1","1","Oto rodowód Jezusa Chrystusa, pochodzącego z rodu króla Dawida, potomka Abrahama:"
"New","40","1","2","Abraham był ojcem Izaaka, Izaak—ojcem Jakuba, a Jakub—ojcem Judy i jego braci."
"New","40","1","3","Kolejni potomkowie Judy to: Fares i jego brat Zara (ich matką była Tamar), Ezrom, Aram,"
"New","40","1","4","Aminadab, Naasson, Salmon,"
"New","40","1","5","Booz (jego matką była Rachab), Jobed (jego matką była Rut), Jesse"
"New","40","1","6","i król Dawid. Dawid był ojcem króla Salomona (jego matką była dawna żona Uriasza), a po nim byli:"
"New","40","1","7","Roboam, Abiasz, Asa,"
"New","40","1","8","Jozafat, Joram, Ozjasz,"
"New","40","1","9","Joatam, Achaz, Ezechiasz,"
"New","40","1","10","Manasses, Amos i Jozjasz."
"New","40","1","11","Jozjasz był ojcem Jechoniasza i jego braci (był to czas przesiedlenia Żydów do Babilonu)."
"New","40","1","12","Potomkowie Jechoniasza po przesiedleniu to: Salatiel, Zorobabel,"
"New","40","1","13","Abijud, Eliakim, Azor,"
"New","40","1","14","Sadok, Achim, Eliud,"
"New","40","1","15","Eleazar, Mattan i Jakub."
"New","40","1","16","Jakub zaś był ojcem Józefa, męża Marii, która urodziła Jezusa, zwanego Chrystusem."
"New","40","1","17","Tak więc wszystkich pokoleń, od Abrahama do Dawida, było czternaście, od Dawida do przesiedlenia babilońskiego—czternaście, i od przesiedlenia do Chrystusa—również czternaście."
"New","40","1","18","Jezus Chrystus urodził się w takich oto okolicznościach: Jego matka, Maria, była zaręczona z Józefem. Ale zanim wspólnie zamieszkali, za sprawą Ducha Świętego zaszła w ciążę."
"New","40","1","19","Józef, jej narzeczony, był prawym człowiekiem. Postanowił zerwać zaręczyny, ale chciał to uczynić potajemnie, by nie narażać Marii na publiczne oskarżenia."
"New","40","1","20","Gdy już to postanowił, we śnie ukazał mu się anioł Pana, który rzekł: —Józefie, potomku króla Dawida! Nie bój się ożenić z Marią, twoją narzeczoną! Bo to Duch Święty sprawił, że poczęła dziecko."
"New","40","1","21","Urodzi syna, któremu nadasz imię Jezus (czyli „Bóg zbawia”), bo to On wybawi od grzechów swój naród."
"New","40","1","22","Stało się tak, aby wypełniło się to, co Pan przepowiedział przez proroka:"
"New","40","1","23","„Oto dziewica pocznie i urodzi Syna i nazwą Go Emmanuel” (co znaczy: „Bóg jest z nami”)."
"New","40","1","24","Gdy Józef się obudził, zgodnie z poleceniem anioła przyjął Marię, jako żonę, do swojego domu."
"New","40","1","25","Nie współżył z nią jednak aż do czasu, gdy urodziła Syna. I dał Mu na imię Jezus."
"New","40","2","1","Jezus urodził się w miasteczku Betlejem, w Judei, za panowania króla Heroda. Właśnie w tym czasie przybyli do Jerozolimy mędrcy ze Wschodu."
"New","40","2","2","—Gdzie znajduje się nowo narodzony Król Żydów?—pytali. —Ujrzeliśmy u nas, na Wschodzie, Jego gwiazdę i przybyliśmy złożyć Mu hołd."
"New","40","2","3","Wiadomość o tym bardzo zaniepokoiła Heroda i całą Jerozolimę."
"New","40","2","4","Zwołał więc wszystkich najwyższych kapłanów oraz przywódców religijnych i pytał, gdzie ma się narodzić Mesjasz."
"New","40","2","5","—W Betlejem w Judei—odpowiedzieli mu. —Bo tak napisał prorok"
"New","40","2","6","„A ty, Betlejem w Judzie, wcale nie jesteś najgorsze wśród miast Judy, gdyż z ciebie pochodzić będzie Władca, który będzie pasterzem mojego ludu—Izraela”."
"New","40","2","7","Wtedy Herod potajemnie wezwał do siebie mędrców i dowiedział się, kiedy ujrzeli gwiazdę."
"New","40","2","8","Następnie skierował ich do Betlejem mówiąc: —Idźcie i dokładnie wypytujcie o dziecko. Gdy je znajdziecie, powiadomcie mnie, abym i ja mógł złożyć mu hołd."
"New","40","2","9","Po rozmowie z królem mędrcy wyruszyli w drogę. Znowu ukazała się im gwiazda, którą zobaczyli na Wschodzie, i prowadziła ich. W końcu zatrzymała się nad miejscem, gdzie znajdowało się Dziecko."
"New","40","2","10","Widok gwiazdy napełnił ich ogromną radością."
"New","40","2","11","Gdy weszli do domu, zobaczyli Dziecko i Jego matkę, Marię. Pokłonili Mu się nisko, otworzyli szkatułki z kosztownościami i ofiarowali Mu w darze złoto, kadzidło oraz mirrę."
"New","40","2","12","Później we śnie otrzymali nakaz, by nie wracać do Heroda. Dlatego inną drogą udali się do swojego kraju."
"New","40","2","13","Gdy oddalili się, również Józefowi we śnie ukazał się anioł Pana: —Wstawaj, Józefie!—powiedział. —Weź Dziecko oraz Jego matkę i uciekaj do Egiptu. Czekaj tam, aż dam ci znać. Herod bowiem szuka Jezusa i chce Go zabić."
"New","40","2","14","Jeszcze tej nocy Józef wstał i wyruszył razem z Marią i Dzieckiem do Egiptu."
"New","40","2","15","Pozostał tam aż do śmierci króla Heroda—w ten sposób miały się spełnić słowa Pana wypowiedziane przez proroka: „Z Egiptu wezwałem mojego Syna”."
"New","40","2","16","Herod zorientował się, że mędrcy go zawiedli, i wpadł w gniew. Wysłał żołnierzy, którzy w Betlejem i całej okolicy pozabijali wszystkich chłopców do drugiego roku życia—od mędrców bowiem wiedział, w jakim wieku jest dziecko."
"New","40","2","17","Tak spełniło się proroctwo Jeremiasza:"
"New","40","2","18","„Krzyk rozlega się w Rama, słychać tam płacz i rozpacz. To Rachel opłakuje swoje dzieci i nie daje się pocieszyć, bo już ich nie ma”."
"New","40","2","19","Po śmierci Heroda anioł Pana ponownie ukazał się we śnie Józefowi, przebywającemu w Egipcie."
"New","40","2","20","—Wstawaj, Józefie!—powiedział. —Weź Dziecko i Jego matkę i ruszajcie do Izraela, bo umarli już ci, którzy chcieli Je zabić."
"New","40","2","21","Józef wstał, wziął Dziecko oraz Jego matkę i wyruszył do ziemi izraelskiej."
"New","40","2","22","W drodze dowiedział się, że w Judei panuje Archelaos, syn Heroda. Bał się więc tam wracać. Otrzymał jednak we śnie kolejne polecenie i udał się do Galilei."
"New","40","2","23","Tam osiedlił się w Nazarecie. I znowu spełniła się zapowiedź proroków, mówiąca, że Mesjasz będzie nazwany Nazarejczykiem."
"New","40","3","1","W owych czasach na pustyni judejskiej rozpoczął działalność Jan Chrzciciel."
"New","40","3","2","Nawoływał: —Opamiętajcie się, bo nadchodzi królestwo niebieskie!"
"New","40","3","3","To właśnie o nim mówił prorok Izajasz: „Głos wołającego na pustyni: Przygotujcie Panu drogę, wyrównajcie przed Nim ścieżki!”."
"New","40","3","4","Jan żył bardzo skromnie: nosił ubranie z wielbłądziej wełny oraz skórzany pas, żywił się szarańczą i leśnym miodem."
"New","40","3","5","Z Jerozolimy, z całej Judei i z doliny Jordanu przychodziły do niego tłumy."
"New","40","3","6","On zaś zanurzał w wodach Jordanu tych, którzy przyznawali się do swoich grzechów."
"New","40","3","7","Zauważył jednak, że również wielu faryzeuszy i saduceuszy przychodzi się ochrzcić. Napominał więc ich: —Przebiegłe węże! Kto wam powiedział, jak uciec przed nadchodzącą karą Boga?!"
"New","40","3","8","Najpierw pokażcie poprzez wasze uczynki, że naprawdę się opamiętaliście!"
"New","40","3","9","Nie oszukujcie się, powtarzając: „Jesteśmy potomkami samego Abrahama”. Zapewniam was, że Bóg może stworzyć potomków Abrahama nawet z tych kamieni!"
"New","40","3","10","Siekiera Bożego sądu już jest przyłożona do pnia. I każde drzewo, które nie wydaje owocu, zostanie wycięte i rzucone w ogień."
"New","40","3","11","Ja was zanurzam w wodzie na znak opamiętania. Lecz niebawem nadejdzie Ktoś potężniejszy ode mnie. Ktoś, komu nie jestem nawet godzien nosić butów! On będzie was zanurzał w Duchu Świętym i w ogniu."
