Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ovo je rodoslovlje Isusa Krista, potomka kralja Davida koji je bio Abrahamov potomak."
"New","40","1","2","Abrahamu se rodio Izak. Izaku se rodio Jakov. Jakovu su se rodili Juda i njegova braća."
"New","40","1","3","Judi je Tamara rodila Peresa i Zeraha. Peresu se rodio Hesron, a Hesronu Ram."
"New","40","1","4","Ramu se rodi Aminadab. Aminadabu se rodi Nahšon, a Nahšonu Salma."
"New","40","1","5","Salmi je Rahaba rodila Boaza. Boazu je Ruta rodila Obeda. Obedu se rodio Jišaj."
"New","40","1","6","Jišaju se rodio kralj David. Davidu je bivša Urijina žena rodila Salomona."
"New","40","1","7","Salomonu se rodio Roboam. Roboamu se rodio Abija. Abiji se rodio Asa."
"New","40","1","8","Asi se rodio Jozafat. Jozafatu se rodio Joram, a Joramu Ahazja."
"New","40","1","9","Ahazji se rodio Jotam, Jotamu Ahaz, a Ahazu Ezekija."
"New","40","1","10","Ezekiji se rodio Manaše, Manašeu Amon. Amonu se rodio Jošija."
"New","40","1","11","Jošiji su se, u vrijeme progonstva u Babilon, rodili Jehonija i njegova braća."
"New","40","1","12","Poslije progonstva u Babilon Jehoniji se rodio Šealtiel. Šealtielu se rodio Zerubabel."
"New","40","1","13","Zerubabelu se rodio Abiud. Abiudu se rodio Elijakim, a Elijakimu Azor."
"New","40","1","14","Azoru se rodio Sadok. Sadoku se rodio Akim, a Akimu Elijud."
"New","40","1","15","Elijudu se rodio Eleazar. Eleazaru Matan, a Matanu Jakov."
"New","40","1","16","Jakovu se rodio Josip, muž Marije koja je rodila Isusa zvanoga Krist."
"New","40","1","17","To je, dakle, ukupno četrnaest naraštaja od Abrahama do kralja Davida, četrnaest naraštaja od kralja Davida do progonstva u Babilon i četrnaest naraštaja od progonstva do Krista."
"New","40","1","18","Evo kako se zbilo rođenje Isusa Krista: Njegova majka Marija bila je zaručena s Josipom. Ali dok je još bila djevica, začela je po Svetome Duhu."
"New","40","1","19","Kako je njezin muž Josip bio pravedan čovjek i kako ju nije htio javno osramotiti, naumi ju potajice napustiti."
"New","40","1","20","Razmišljajući o tome, zaspao je te mu se u snu ukaže Božji glasnik. “Josipe, sine Davidov,” reče mu on, “ne oklijevaj uzeti Mariju za ženu! Jer dijete koje nosi začeto je po Svetome Duhu."
"New","40","1","21","Ona će roditi sina i nazvat ćeš ga Isus (što znači: ‘Gospodin spasava’) jer će spasiti svoj narod od njegovih grijeha.”"
"New","40","1","22","Sve se to dogodilo da bi se obistinilo što je Gospodin rekao po proroku:"
"New","40","1","23","“Slušajte! Djevica će zanijeti! Rodit će sina koji će se zvati Emanuel”, (što znači: “Bog je s nama”)."
"New","40","1","24","Kad se Josip probudio, učini kako mu je Božji glasnik zapovjedio—dovede Mariju svojoj kući da mu bude žena."
"New","40","1","25","Nije joj prišao kao muškarac dok nije rodila sina. A onda mu nadjene ime Isus."
"New","40","2","1","Isus se rodio u gradu Betlehemu u Judeji za vladavine kralja Heroda. U to vrijeme neki mudraci s Istoka stignu u Jeruzalem"
"New","40","2","2","i stanu se raspitivati: “Gdje je taj novorođeni kralj Židova? Vidjeli smo njegovu zvijezdu na istoku pa smo mu se došli pokloniti.”"
"New","40","2","3","To veoma uznemiri kralja Heroda, a i sav Jeruzalem."
"New","40","2","4","Kralj sazove svećeničke poglavare i pismoznance da se raspita gdje se Krist treba roditi."
"New","40","2","5","“U Betlehemu u Judeji”, odgovore mu, “jer je prorok napisao:"
"New","40","2","6","‘Betleheme, ti nisi samo nevažno judejsko selo, jer će iz tebe poteći vladar koji će voditi moj narod, Izrael.’”"
"New","40","2","7","Tada Herod potajno pošalje po mudrace da od njih dozna vrijeme pojavka zvijezde."
"New","40","2","8","Zatim ih pošalje u Betlehem: “Pođite i pomnjivo se raspitajte za dijete. Kad ga pronađete, vratite se i javite mi da mu se i ja pođem pokloniti.”"
"New","40","2","9","Poslušali su kralja i pošli. I gle! Zvijezda koju su vidjeli da izlazi išla je pred njima sve dok se nije zaustavila iznad mjesta gdje se nalazilo dijete."
"New","40","2","10","Kad su ju ugledali, silno su se razveselili."
"New","40","2","11","Uđu u kuću i ugledaju dijete s njegovom majkom Marijom te padnu ničice i poklone mu se. Zatim otvore škrinje s blagom i daruju mu zlato, tamjan i smirnu."
"New","40","2","12","Poslije toga su u snu dobili upute da se ne vraćaju k Herodu, te su se u svoju zemlju vratili drugim putem."
"New","40","2","13","Kad su otišli, anđeo se Gospodnji ukaže u snu Josipu. “Ustani i bježi u Egipat s djetetom i s njegovom majkom”, reče anđeo, “i ostani ondje sve dok ti ne kažem da se vratiš jer će kralj Herod tražiti dijete da ga ubije.”"
"New","40","2","14","Josip ustane i još se iste noći zaputi u Egipat s Marijom i djetetom."
"New","40","2","15","Ostao je ondje sve do Herodove smrti. Time se ispunilo što je Gospodin rekao preko proroka: “Pozvao sam svojega sina iz Egipta.”"
"New","40","2","16","Kad uvidi da su ga mudraci izigrali, Herod se silno razgnjevi i pošalje vojnike da u Betlehemu i po svoj okolici pobiju sve dječake od dvije godine i mlađe, prema vremenu izlaska zvijezde za koje se raspitao u mudraca."
"New","40","2","17","Tada se ispunilo ono što je rekao prorok Jeremija:"
"New","40","2","18","“U Rami se čuje glas, zapomaganje i gorak plač; to Rahela oplakuje svoju djecu i ne dade se utješiti jer ih više nema.”"
"New","40","2","19","Kad je Herod umro, u Egiptu se anđeo Gospodnji ukaže Josipu u snu"
"New","40","2","20","i reče mu: “Ustani i povedi dijete i njegovu majku natrag u izraelsku zemlju, jer su oni koji su ga pokušavali ubiti mrtvi.”"
"New","40","2","21","On ustane, uzme dijete i majku i vrati se u Izrael."
"New","40","2","22","Putem dozna da je novim kraljem postao Arhelaj, Herodov sin, pa se prestraši. Tada i u snu dobije upozorenje da ne ide u Judeju, te umjesto toga ode u Galileju"
"New","40","2","23","i nastani se u Nazaretu. Time se ispunilo što su o Mesiji napisali proroci: “Zvat će se Nazarećanin.”"
"New","40","3","1","U to vrijeme Ivan Krstitelj počne propovijedati u judejskoj pustinji:"
"New","40","3","2","“Pokajte se za grijehe i obratite se Bogu jer je nebesko kraljevstvo blizu!”"
"New","40","3","3","Prorok Izaija govorio je o Ivanu kad je prorokovao: “On je glas koji viče u pustinji: ‘Pripremite put za Gospodnji dolazak! Poravnajte za njega staze!’”"
"New","40","3","4","Ivanova odjeća bila je istkana od devine dlake, a bio je opasan kožnim pojasom. Hranio se skakavcima i divljim medom."
"New","40","3","5","Ljudi su k njemu dolazili iz Jeruzalema i iz cijele jordanske okolice."
"New","40","3","6","Ispovijedali su mu svoje grijehe, a on ih je krstio u rijeci Jordanu."
"New","40","3","7","Ali kad ugleda mnoge farizeje i saduceje da se dolaze krstiti, reče im: “Zmijska legla! Tko li vas je samo upozorio da pobjegnete Božjemu gnjevu koji stiže?"
"New","40","3","8","Dokažite svojim životom i djelima da ste se odvratili od grijeha i obratili Bogu."
"New","40","3","9","Ne zavaravajte se da vam je dovoljno reći: ‘Mi smo Abrahamovi potomci!’ jer vam kažem da Bog može i od ovoga kamenja podignuti Abrahamovu djecu!"
"New","40","3","10","Sjekira Božjeg suda već je uzdignuta da u korijenu sasiječe stabla. Svako stablo koje ne daje dobrog roda bit će posječeno i bačeno u vatru."
"New","40","3","11","Ja vodom krstim one koji se pokaju od svojih grijeha; no dolazi netko veći od mene, toliko velik da mu ja nisam dostojan ni robom biti. On će vas krstiti Svetim Duhom i ognjem."
"New","40","3","12","Očistit će svoje gumno i odvojiti pljevu od pšenice; pšenicu će spremiti u svoju žitnicu, a pljevu sažeći neugasivim ognjem.”"
"New","40","3","13","Tada Isus dođe iz Galileje na Jordan da ga Ivan krsti."
"New","40","3","14","Ivan ga je odvraćao. “Zar da ti dođeš k meni,” reče mu, “a zapravo bi ti mene trebao krstiti!”"
"New","40","3","15","Ali Isus mu odgovori: “Pusti to, jer nam valja ispuniti pravednu Božju volju.” Tada ga je Ivan krstio."
"New","40","3","16","Nakon krštenja Isus iziđe iz vode. I gle! Nebesa se otvore i on ugleda Božjega Duha kako silazi kao golub i spušta se na njega."
"New","40","3","17","Začuje se glas:: “Ovo je moj ljubljeni Sin. On je moja radost!”"
"New","40","4","1","Zatim Sveti Duh odvede Isusa u pustinju da ga ondje kuša đavao."
"New","40","4","2","Ništa nije jeo četrdeset dana i četrdeset noći pa je nakon toga vrlo ogladnio."
"New","40","4","3","Tada mu pristupi napasnik i reče mu: “Ako si Božji Sin, reci da ovo kamenje postane kruhom.”"
"New","40","4","4","Ali Isus mu odgovori: “U Svetome pismu piše: ‘Ne živi čovjek samo o kruhu, već i o svakoj riječi što izlazi iz Božjih usta. ’”"
"New","40","4","5","Tada ga đavao odvede u Sveti grad, na vrh Hrama"
"New","40","4","6","i reče: “Ako si Božji Sin, skoči! Jer Sveto pismo kaže: ‘On zapovijeda svojim anđelima za tebe’ i ‘oni će te svojim rukama zadržati da ni nogom o kamen ne udariš.’”"
"New","40","4","7","Isus mu odgovori: “Sveto pismo također kaže: ‘Ne iskušavaj Gospodina Boga svojega!’”"
"New","40","4","8","Đavao ga zatim povede na vrh vrlo visoke gore te mu pokaže sve narode svijeta i svu njihovu slavu."
"New","40","4","9","“Sve ću ti ovo dati”, reče mu, “ako mi se ničice pokloniš!”"
"New","40","4","10","“Odlazi, Sotono!” reče mu Isus. “U Svetome pismu piše: ‘Klanjaj se samo Bogu i njemu jedinome služi! ’”"
"New","40","4","11","Tada đavao ode, a dođu mu služiti anđeli."
"New","40","4","12","Kad je Isus čuo da su Ivana zatvorili, povuče se u Galileju."
"New","40","4","13","Ode iz Nazareta te se nastani u Kafarnaumu, uz more, na Zebulunovu i Naftalijevu području."
"New","40","4","14","Tako se ispunilo Izaijino proročanstvo:"
"New","40","4","15","“U zemlji Zebulunovoj i Naftalijevoj, uz more, s one strane Jordana, u poganskoj Galileji,"
"New","40","4","16","narod koji je u tmini živio ugleda veliku svjetlost; onima što su prebivali u mračnom predjelu smrti zasjalo je jarko svjetlo.”"
"New","40","4","17","Otada Isus počne propovijedati: “Pokajte se za grijehe i obratite se Bogu jer je nebesko kraljevstvo blizu!”"
"New","40","4","18","Prolazeći jednom obalom uz Galilejsko jezero, Isus opazi dvojicu braće—Šimuna, zvanoga još i Petar, i Andriju—kako bacaju mrežu u more. Bili su, naime, ribari."
"New","40","4","19","Reče im: “Pođite za mnom i ja ću vas učiniti ribarima ljudi!”"
"New","40","4","20","Oni smjesta ostave svoje mreže te pođu za njim."
"New","40","4","21","Malo dalje ugleda drugu dvojicu braće, Jakova i Ivana, kako sjede u lađici sa svojim ocem Zebedejem i krpaju mreže. Pozove i njih."
"New","40","4","22","Oni smjesta ostave lađicu i oca te pođu za njim."
"New","40","4","23","Isus je putovao cijelom Galilejom poučavajući u židovskim sinagogama, propovijedajući Radosnu vijest o nebeskom kraljevstvu te iscjeljujući svaku vrstu bolesti i nemoći u narodu."
"New","40","4","24","Glas o njemu pronese se po svoj Siriji, pa su mu ljudi čak i odande dovodili sve koje je mučila kakva bolest i patnja: opsjednute, mjesečare i uzete, a on ih je ozdravljao."
"New","40","4","25","Za njim je nagrnulo silno mnoštvo iz Galileje, Dekapolisa, Jeruzalema i cijele Judeje, pa čak i s druge strane Jordana."
"New","40","5","1","Kad Isus ugleda da se okupilo mnoštvo, popne se na goru i sjedne. Nato mu priđu njegovi učenici."
"New","40","5","2","On počne poučavati."
"New","40","5","3","“Blago onima koji shvaćaju da im je Bog potreban jer je njihovo nebesko kraljevstvo!"
"New","40","5","4","Blago onima koji tuguju, jer će ih Bog utješiti!"
"New","40","5","5","Blago krotkima, jer će baštiniti zemlju!"
"New","40","5","6","Blago onima koji su gladni i žedni pravednosti, jer će je se nasititi!"
"New","40","5","7","Blago milosrdnima, jer će se i njima iskazati milosrđe!"
"New","40","5","8","Blago ljudima čista srca, jer će gledati Boga!"
"New","40","5","9","Blago mirotvorcima, jer će se nazivati Božjom djecom!"
"New","40","5","10","Blago onima koje progone zato što su pravedni pred Bogom, jer je njihovo nebesko kraljevstvo!"
"New","40","5","11","Blago vama kad vas zbog mene budu grdili i progonili i lažno vam pripisivali kojekakva zla!"
"New","40","5","12","Radujte se zbog toga, silno se radujte! Jer velika vas nagrada čeka na nebesima. Tako su progonili i proroke prije vas!”"
"New","40","5","13","“Vi ste sol čovječanstvu. Ali kakva je korist od soli ako obljutavi? Za što se može uporabiti? Ni za što, osim da se izbaci van, da ju ljudi pogaze."
"New","40","5","14","Vi ste svjetlost svijetu—grad na gori koji noću sjaji da ga svi vide."
"New","40","5","15","Svjetiljku ne palite da biste ju pokrili pod košaru, nego da biste ju postavili tako da svijetli svima u kući."
"New","40","5","16","Neka vaša svjetlost svijetli pred ljudima tako da vide vaša dobra djela i da slave vašega Oca koji je na nebesima.”"
"New","40","5","17","“Nemojte pogrešno shvatiti da sam došao ukinuti Zakon i zapise proroka. Nisam ih došao ukinuti, nego ispuniti."
"New","40","5","18","Zaista vam kažem: sve dok postoji nebo i zemlja, nijedno slovce, nijedan potez pera u Zakonu neće nestati dok se sve ne ostvari."
"New","40","5","19","Prekrši li zato tko i najmanju zapovijed i druge tome pouči, bit će najmanji u nebeskom kraljevstvu. Ali oni koji poučavaju Božjim zakonima i pokoravaju im se bit će veliki u nebeskom kraljevstvu."
"New","40","5","20","Kažem vam, ne bude li vaša pravednost veća od pravednosti pismoznanaca i farizeja, nipošto nećete ući u nebesko kraljevstvo!”"
