Testament,Book,Chapter,Verse,Content
"New","40","1","1","Akava si poreklo katar o Isuso Hristo. Vo sas potomko e caresko Davidesko thaj e Avraamesko potomko."
"New","40","1","2","E Avraamešće bijandilo o Isaak. E Isaakošće bijandilo o Jakov. E Jakovešće bijandilo o Juda thaj e phrala lešće."
"New","40","1","3","E Judašće e Tamara bijandas e Farese thaj e Zare. E Faresošće bijandilo o Esrom. E Esromešće bijandilo o Aram."
"New","40","1","4","E Aramešće bijandilo o Aminadav. E Aminadavešće bijandilo o Naason. E Naasonešće bijandilo o Salmon."
"New","40","1","5","E Salmonešće e Rahava bijandas e Voozo. E Voozešće e Ruta bijandas e Ovido. E Ovidešće bijandilo o Jesej."
"New","40","1","6","E Jeseješće bijandilo o caro David. E Davidešće e Urijašći bivšo romnji bijandas e Solomones."
"New","40","1","7","E Solomonešće bijandilo o Rovoam. E Rovoamešće bijandilo o Avija. E Aviješće bijandilo o Asaf."
"New","40","1","8","E Asafešće bijandilo o Josafat. E Josafatešće bijandilo o Joram. E Joramešće bijandilo o Ozija."
"New","40","1","9","E Ozijašće bijandilo o Joatam. E Joatamešće bijandilo o Ahaz. E Ahazešće bijandilo o Ezekija."
"New","40","1","10","E Ezekijašće bijandilo o Manasija. E Manasijašće bijandilo o Amos. E Amosešće bijandilo o Josija."
"New","40","1","11","E Josijašće bijandilo o Jehonija thaj lešće phrala ande vrjama kana o izraelsko them sas inđardo ando vavilonsko progonstvo."
"New","40","1","12","Nakon so sas inđarde ando Vavilon, e Jehonijašće bijandilo o Salatiilo. E Salatiilešće bijandilo o Zorovavel."
"New","40","1","13","E Zorovavelešće bijandilo o Aviud. E Aviudašće bijandilo o Elijakim. E Elijakimešće bijandilo o Azor."
"New","40","1","14","E Azorešće bijandilo o Sadok. E Sadokošće bijandilo o Ahim. E Ahimešće bijandilo o Elijud."
"New","40","1","15","E Elijudešće bijandilo o Eleazar. E Eleazarešće bijandilo o Matan. E Matanešće bijandilo o Jakov."
"New","40","1","16","E Jakovešće bijandilo o Josif, o rom e Marijako, savi bijanda e Isuse save akhardine Hristo."
"New","40","1","17","Akava si, dakle, sa ukupno dešuštar naraštaja katar o Avram dži ko caro David, dešutrito štar naraštaja katar o caro David dži ko progonstvo ando Vavilon, thaj dešutrito štar naraštaja katar o progonstvo ando Vavilon dži ko Hristo."
"New","40","1","18","Ake sar bijandilo o Isuso Hristo: lešći dej e Marija, sas mangli palo Josif. Ali majsigo nego so line pe, dok sas još čhej, sikadilo kaj e Marija ačhili phari katar o Sveto Duho."
"New","40","1","19","Sar lako rom o Josif sas pravedno manuš thaj či kamlas javno te ladžarel lat, kamlas potajno te mućel lat."
"New","40","1","20","Sar gindilas godova, lija les e lindri thaj ando suno sikadilo lešće o anđelo e Gospodesko thaj phendas lešće: “Josife, e Davidešće čhaveja, na dara te les e Marija pale ćiri romnji! Kaj e čhavre saves inđarel ande peste si katar o Sveto Duho."
"New","40","1","21","Voj bijanela čhave, a tu deja les alav Isus, kaj vo spasila piro them katar lenđe bezeha.”"
"New","40","1","22","A sa godova dogodisajlo te pherdol okova so o Gospod phendas kroz o proroko:"
"New","40","1","23","“Ake e čhej ačhela khamni! Thaj bijanela čhaves savo akhardola Emanuel”  (so značil: “O Del si amenca”)."
"New","40","1","24","Kana o Josif džungadilo, ćerda sar zapovedisardas lešće o anđelo e Gospodesko thaj lijas e Marija pale piri romnji."
"New","40","1","25","Ali či suta lasa dok voj či bijandas čhaves. A kana o čhavro bijandilo, dija les alav Isus."
"New","40","2","1","O Isus bijandilo ando gav Vitlejem savo sas ande judejsko regija, ande vrjama kana vladilas o caro Irod. Ande godoja vrjama aviline e mudracurja katar o Istok ando Jerusalim"
"New","40","2","2","thaj počnisardine te raspituin pe: “Kaj si godova o nevo bijando caro e Židovengo? Dikhlam lešći čerain sar inkljel po istok thaj avilam te das koča angle leste.”"
"New","40","2","3","Kana godova ašundas o caro Irod zurale uznemirisajlo sago vi o sa o them ando Jerusalim."
"New","40","2","4","Askal akhardas sa e židovske šorvale rašajen thaj e učiteljen e Mojsiješće zakonestar te phučel lendar: “Kaj o Hristo trubul te bijandol?”"
"New","40","2","5","A von phendine lešće: “Ando Vitlejem ande Judeja, kaj gajda o proroko ramosarda:"
"New","40","2","6","‘A tu Vitlejeme, ande judejsko phuv, nipošto naj san majcikno katar aver e judejske gava, kaj andar tute inkljela o vladari savo vodila mungro theme o Izraele sago o pastiri pire bakhren.’”"
"New","40","2","7","Askal o Irod čordanes akhardas peste e mudracen te phučel lendar kana inkljisti e čerain."
"New","40","2","8","Askal phendas: “Džan thaj lačhe phučen pale godova čhavro thaj kana araćhena les, bolden tumen thaj javin manđe te šaj džav vi me te pokloni man lešće,” thaj bičhalda len ando Vitlejem."
"New","40","2","9","Kana ašundine so phendas lenđe o caro Irod thaj đeletar. A e čerain savja dikhline sar inkljel džalas angle lende dok či ačhili anglo than kaj sas o čhavro."
"New","40","2","10","Kana dikhline e čerain kaj ačhili, zurale raduisajle."
"New","40","2","11","Dine ando ćher thaj dikhline e čhavre lešće dejava e Marijasa thaj peline pe pire koča thaj poklonisajle lešće. Pale godova putardine pire kutijice thaj daruisardine les e sunakajesa, tamnjanosa thaj e mirisno uljesa."
"New","40","2","12","Pale godova o Del upozorisarda len ando suno te či bolden pe ko Irod, nego boldine pe ande pešći phuv aver dromesa."
"New","40","2","13","A kana von đeletar, o anđelo e Gospodesko javisajlo e Josifešće ando suno thaj phendas lešće: “Ušti, le e čhavre thaj lešće deja thaj naš ando Egipat. Ačh okote dok či phenav tuće, kaj o Irod rodela e čhavre te mudarel les.”"
"New","40","2","14","O Josif uštilo, lija e čhavre thaj lešće deja thaj još isto rjat uputisajlo lenca ando Egipat."
"New","40","2","15","Thaj ačhilo okote dok o Irod či mulo, te pherdol so o Gospod phendas prekal o proroko savo phenel: “Andar o Egipat akhardem mungre čhaves.”"
"New","40","2","16","Kana o Irod dikhla kaj e mudracurja nadmudrisardine les, zurale holjajlo thaj naredisarda te ando Vitlejem thaj sasti okolina mudaren sa e muške čhavren dži ke duj brš, prema e vrjama savi saznaisardas katar e mudracurja kana inkljisti e čerain."
"New","40","2","17","Askal pherdilo okova so o Del phendas prekal o proroko Jeremija:"
"New","40","2","18","“Ando gav e Rama ašundilo o glaso, o roipe thaj o jauk. Godova e Rahilja rovel pale pire čhavra thaj našti utešil pes kaj majbut naj len.”"
"New","40","2","19","Kana mulo o Irod, o anđelo e Gospodesko javisajlo ando suno e Josifešće ando Egipat"
"New","40","2","20","thaj phendas lešće: “Ušti, le e čhavre thaj lešće deja thaj bolde tut lenca palpale ande izraelsko phuv, kaj okola save line te mudaren e čhavres muline.”"
"New","40","2","21","O Josif uštilo, lija e čhavre thaj lešće deja, thaj bolda pe ande izraelsko phuv."
"New","40","2","22","Ali kana ašundas kaj e Judejava vladil o Arhelaj umesto lesko dad, darajlo te džal okote, ali o Del upozorisarda les ando suno te džal ande galilejaći regija."
"New","40","2","23","Thaj nastanisajlo ando gav Nazaret. Godolesa pherdilo okova so phendine e prorokurja palo Mesija kaj akhardola Nazarećanino."
"New","40","3","1","Ande godoja vrjama o Jovano savo bolelas počnisarda te propovedil ande judejsko pustinja."
"New","40","3","2","Thaj phenelas: “Pokajin tumen pale tumare bezeha thaj obratin tumen e Devlešće kaj o Carstvo nebesko si paše!”"
"New","40","3","3","O proroko Isaija phenelas palo Jovano kana prorokuisardas: “Vo si o glaso savo čhol muj ande pustinja: ‘Pripremin o drom palo Gospod, vorton e staze pale leste!’”"
"New","40","3","4","A o Jovano inđarelas pe peste e drze save sas ćerde katar e kamilaće bal, a oko maškar sas les morćhako pojas. O habe lesko sas e skakavcurja thaj o divljo medo."
"New","40","3","5","Leste avelas o but o them andar o Jerusalim, andar e Judeja thaj andar sa e krajurja oko e reka Jordan."
"New","40","3","6","Ispovedinas lešće pire bezeha, a vo bolelas len ande reka Jordan."
"New","40","3","7","A kana o Jovano dikhla e but e farisejen thaj e sadukejen kaj aven leste te bolel len, phendas lenđe: “Tumen e sapešće čhavra! Koli upozorisarda tumen te našen katar e Devlešći bari holji savi avel?"
"New","40","3","8","Sikaven tumare trajosa thaj tumare plodonenca kaj pokajisardine tumen katar tumare bezaha."
"New","40","3","9","Thaj na hohaven korkoro tumen kaj si tumenđe dosta te phenen: ‘Amen sam e Avramešće potomkurja’ kaj phenav tumenđe: o Del šaj vi katar akala bara te vazdel čhavren e Avramešće."
"New","40","3","10","O tover e Devlešće sudosko već si čhutino po koreno e kaštesko. Svako kaš savo či bijanel lačhe plodurja čhinela pe thaj čhudela pe ande jag."
"New","40","3","11","Me bolav tumen e pajesa, palo pokajanje katar tumare bezeha. Ali avel vareko posle mande ko si majmoćno mandar, kašće naj sem dostojno e sandale te inđarav. Vo bolela tumen e Sveto Duhosa thaj e jagasa."
"New","40","3","12","Vo si spremno te losarel o kućin e đivesko katar e pleva. O điv ćidela thaj spremila ande piri žitnica, a e pleva dela jag e jagasa savi našti mudardol.”"
"New","40","3","13","Askal avilo o Isus andar e Galileja pe reka Jordan te o Jovano bolel les."
"New","40","3","14","A o Jovano či kamlas te bolel les thaj phenelas lešće: “Tu trubul man te boles, a tu aves mande te me bolav tut?”"
"New","40","3","15","A o Isus phendas lešće: “Muk akana, kaj agajda trubul amenđe te pheras e Devlešći pravedno volja.” Askal o Jovano bola les."
"New","40","3","16","Pale godova kana sas o Isus boldo thaj čim inkljisto andar o paj. Thaj dik! O nebo putajlo thaj vo dikhla e Devlešće Duho sar fuljel sago golubo thaj mućel pes pe leste."
"New","40","3","17","Askal o glaso andar o nebo ašundilo: “Akava si mungro Čhavo, saves voliv. Vo si mungri bah.”"
"New","40","4","1","Askal o Sveto Duho inđardas e Isuse ande pustinja te iskušil les o beng."
"New","40","4","2","O Isus postilas štarvardeš đesa thaj štarvardeš raća, a pale godova bokhajlo."
"New","40","4","3","Askal avilo leste o beng thaj iskušisarda les gajda kaj phendas lešće: “Ako san Čhavo e Devlesko, phen te akala bara aven mangre.”"
"New","40","4","4","A o Isus phendas: “Ando Sveto lil ačhel ramome: ‘Či trajil o manuš samo katar o mangro, nego katar svako alav savo inkljel andar e Devlesko muj.’”"
"New","40","4","5","Askal o beng inđarda e Isuse ando Sveto gav Jerusalim thaj čhuta les po vrho e Hramosko,"
