Testament,Book,Chapter,Verse,Content
"New","40","1","1","Bu kitap Ybraýymyň ogly bolan Dawudyň ogly Isa Mesihiň nesil şejere kitabydyr."
"New","40","1","2","Ybraýym Yshagyň atasydy. Yshak Ýakubyň atasydy. Ýakup Iuda we onuň doganlarynyň atasydy."
"New","40","1","3","Iuda Tamaradan doglan Peresiň we Zerahyň atasydy. Peres Hesronyň atasydy. Hesron Ramyň atasydy."
"New","40","1","4","Ram Aminadabyň atasydy. Aminadap Nahşonyň atasydy. Nahşon Salmonyň atasydy."
"New","40","1","5","Salmon Rahawdan doglan Boazyň atasydy. Boaz Rutdan doglan Obediň atasydy. Obed Ýessäniň atasydy."
"New","40","1","6","Ýesse Dawut patyşanyň atasydy. Dawut Uriýanyň aýalyndan bolan Süleýmanyň atasydy."
"New","40","1","7","Süleýman Rehawamyň atasydy. Rehawam Abiýanyň atasydy. Abiýa Asanyň atasydy."
"New","40","1","8","Asa Ýehoşafatyň atasydy. Ýehoşafat Ýoramyň atasydy. Ýoram Uziýanyň atasydy."
"New","40","1","9","Uziýa Ýotamyň atasydy. Ýotam Ahazyň atasydy. Ahaz Hizkiýanyň atasydy."
"New","40","1","10","Hizkiýa Manaşäniň atasydy. Manaşe Amonyň atasydy. Amon Ýoşiýanyň atasydy."
"New","40","1","11","Ýoşiýa Babyl sürgüni wagtynda doglan Ýehoniýanyň we onuň doganlarynyň atasydy."
"New","40","1","12","Ýehoniýa Babyl sürgüninden soň doglan Şealtiýeliň atasydy. Şealtiýel Zerubabeliň atasydy."
"New","40","1","13","Zerubabel Abihudyň atasydy. Abihud Elýakimiň atasydy. Elýakim Azoryň atasydy."
"New","40","1","14","Azor Sadokyň atasydy. Sadok Ahimiň atasydy. Ahim Elihudyň atasydy."
"New","40","1","15","Elihud Eliýazaryň atasydy. Eliýazar Mattanyň atasydy. Mattan Ýakubyň atasydy."
"New","40","1","16","Ýakup Meremiň adamsy Ýusubyň atasydy. Meremden hem Mesih diýlen Isa doguldy."
"New","40","1","17","Şeýlelikde, Ybraýymdan Dawuda çenli bolan nesiller jemi on dört arkadyr. Dawutdan Babyl sürgünine çenli hem on dört, Babyl sürgüninden Mesihe çenli hem on dört arkadyr."
"New","40","1","18","Isa Mesihiň dogluşy şeýle boldy: Onuň ejesi Meremiň Ýusup bilen adaglyka, biri-birleri bilen ýassykdaş bolmazlaryndan öň, Mukaddes Ruhdan göwreli bolanlygy äşgär boldy."
"New","40","1","19","Onuň adamsy Ýusup bir dogry adam bolansoň, ony utanja goýmak islemän, ýaşyrynlyk bilen boşatmagy ýüregine düwdi."
"New","40","1","20","Emma ol bu zatlar hakda oýlanyp ýörkä, Rebbiň bir perişdesi onuň düýşüne girip: «Eý, Dawut ogly Ýusup! Sen Meremi özüňe aýallyga almakdan gorkma, çünki onuň göwresinde dörän zat Mukaddes Ruhdandyr."
"New","40","1","21","Ol bir Ogul dograr, sen Onuň adyna Isa dakarsyň, çünki Ol Öz halkyny günälerinden halas eder» diýdi."
"New","40","1","22","Bularyň hemmesi Rebbiň pygamber arkaly aýdan şu sözüniň ýerine ýetmegi üçin boldy:"
"New","40","1","23","«Ine, bir gyz göwreli bolup, bir ogul dograr, Onuň adyna Emmanuýel dakarlar». Bu ― «Hudaý biziň bilendir» diýen manyny berýär."
"New","40","1","24","Ýusup ukudan oýananyndan soň, Rebbiň perişdesiniň tabşyryşy ýaly, aýalyny aldy."
"New","40","1","25","Aýaly ilkinji ogluny dogurýança, onuň ýanynda ýatmady, çaganyň adyna bolsa Isa dakdy."
"New","40","2","1","Hirodes patyşanyň zamanynda Ýahudanyň Beýtullaham şäherinde Isa eneden doglanynda, ine, Iýerusalime gündogardan müneçjimler gelip:"
"New","40","2","2","«Ýehudylaryň Patyşasy bolup doglan nirede? Biz gündogarda Onuň ýyldyzyny görüp, Oňa sežde etmäge geldik» diýdiler."
"New","40","2","3","Muny eşidip, Hirodes patyşa we onuň bilen birlikde tutuş Iýerusalim galagopluga düşdi."
"New","40","2","4","Ol ähli baş ruhanylary, halkyň kanunçylaryny ýygnap, olardan Mesih nirede dogulmaly diýip sorady."
"New","40","2","5","Olar şeýle jogap berdiler: «Ýahudanyň Beýtullahamynda, çünki pygamber arkaly şeýle ýazylypdyr:"
"New","40","2","6","„Eý, Ýahuda ülkesindäki Beýtullaham, sen Ýahuda hökümdarlary arasynda asla iň kiçisi dälsiň. Çünki halkym Ysraýyla çopançylyk etjek Hökümdar senden çykjakdyr\»."
"New","40","2","7","Onsoň Hirodes müneçjimleri ýaşyryn ýanyna çagyryp, ýyldyzyň haçan görnenini çintgäp sorady."
"New","40","2","8","«Baryň, çaga hakda ýagşyja sorag-ideg ediň, tapaňyzda maňa hem habar beriň, men hem baryp, Oňa sežde etjek» diýip, olary Beýtullahama iberdi."
"New","40","2","9","Olar patyşany diňläp, ýola rowana boldular. Ine, gündogarda gören ýyldyzlary öňlerine düşüp, çaganyň bolan ýeriniň üstüne gelip durdy."
"New","40","2","10","Olar ýyldyzy görüp, juda begendiler."
"New","40","2","11","Öýe girip, çaga bilen ejesi Meremi gördüler. Dyzlaryna çöküp, Oňa sežde etdiler-de, hazynalaryny açyp, altyn, ladan we mür sowgat berdiler."
"New","40","2","12","Hirodesiň ýanyna öwrülmezlik hakda düýş üsti bilen duýduryş berlensoň, olar öz ýurtlaryna başga ýol bilen gaýtdylar."
"New","40","2","13","Müneçjimler ugranlaryndan soň, Rebbiň bir perişdesi Ýusubyň düýşüne girip: «Tur, çaga bilen ejesini al-da, Müsüre gaç, saňa aýdýançam şol ýerde gal, çünki Hirodes çagany öldürmek üçin Ony agtarjak bolup ýör» diýdi."
"New","40","2","14","Ýusup turdy-da, çaga bilen Onuň ejesini alyp, gije Müsüre gitdi."
"New","40","2","15","Rebbiň pygamber arkaly: «Men Oglumy Müsürden çagyrdym» diýip aýdany ýerine ýeter ýaly, Hirodesiň ölümine deňeç şol ýerde galdy."
"New","40","2","16","Müneçjimleriň aldanyny bilensoň, Hirodes gaty gaharlanyp, Beýtullahama we onuň etrabyndaky ähli obalara adam iberdi-de, müneçjimlerden sorap anyklan wagtynda bolan oglanlaryň iki ýaşlysyna çenli hemmesini öldürtdi."
"New","40","2","17","Şeýlelikde, Ýeremiýa pygamber arkaly aýdylan şu söz ýerine ýetdi:"
"New","40","2","18","«Ramadan bir ses eşidildi, agy we çuň matam sesi. Çagalary üçin aglaýan Rahel özüne teselli berilmegini islemeýär, çünki olar ýok»."
"New","40","2","19","Hirodes ölende, Rebbiň bir perişdesi Müsürde Ýusubyň düýşüne girip:"
"New","40","2","20","«Tur, çaga bilen Onuň ejesini al-da, Ysraýyl ýurduna gaýt, çünki çaganyň janynyň kastyna çykanlar öldi» diýdi."
