Testament,Book,Chapter,Verse,Content
"New","40","1","1","Hii ni historia ya ukoo wa Yesu, Masihi. Alitoka katika ukoo wa Daudi, aliyetoka katika ukoo wa Ibrahimu."
"New","40","1","2","Ibrahimu alikuwa baba yake Isaka. Isaka alikuwa baba yake Yakobo. Yakobo alikuwa baba wa Yuda na ndugu zake."
"New","40","1","3","Yuda alikuwa baba wa Peresi na Zera. (Mama yao alikuwa Tamari.) Peresi alikuwa baba yake Hezroni. Hezroni alikuwa baba yake Ramu."
"New","40","1","4","Ramu alikuwa baba yake Aminadabu. Aminadabu alikuwa baba yake Nashoni. Nashoni alikuwa baba yake Salmoni."
"New","40","1","5","Salmoni alikuwa baba yake Boazi. (Mama yake Boazi alikuwa Rahabu.) Boazi alikuwa baba yake Obedi. (Mama yake Obedi alikuwa Ruthu.) Obedi alikuwa baba yake Yese."
"New","40","1","6","Yese alikuwa baba yake Mfalme Daudi. Daudi alikuwa baba yake Sulemani. (Mama yake Sulemani alikuwa mke wa Uria.)"
"New","40","1","7","Sulemani alikuwa baba yake Rehoboamu. Rehoboamu alikuwa baba yake Abiya. Abiya alikuwa baba yake Asa."
"New","40","1","8","Asa alikuwa baba yake Yehoshafati. Yehoshafati alikuwa baba yake Yoramu. Yoramu alikuwa baba yake Uzia."
"New","40","1","9","Uzia alikuwa baba yake Yothamu. Yothamu alikuwa baba yake Ahazi. Ahazi alikuwa baba yake Hezekia."
"New","40","1","10","Hezekia alikuwa baba yake Manase. Manase alikuwa baba yake Amoni. Amoni alikuwa baba yake Yosia."
"New","40","1","11","Yosia alikuwa baba wa Yekonia na ndugu zake. Walioishi wakati ambao watu walipelekwa utumwani Babeli."
"New","40","1","12","Baada ya uhamisho wa Babeli, Yekonia akawa baba yake Shealtieli. Shealtieli alikuwa babu wa Zerubabeli."
"New","40","1","13","Zerubabeli alikuwa baba yake Abiudi. Abiudi alikuwa baba yake Eliakimu. Eliakimu alikuwa baba yake Azori."
"New","40","1","14","Azori alikuwa baba yake Sadoki. Sadoki alikuwa baba yake Akimu. Akimu alikuwa baba yake Eliudi."
"New","40","1","15","Eliudi alikuwa baba yake Eliazari. Eliazari alikuwa baba yake Matani. Matani alikuwa baba yake Yakobo."
"New","40","1","16","Yakobo alikuwa baba yake Yusufu, Yusufu alikuwa mume wa Mariamu. Na Mariamu alimzaa Yesu, anayeitwa Masihi."
"New","40","1","17","Kulikuwa na vizazi kumi na nne kuanzia kwa Ibrahimu mpaka kwa Daudi. Na kulikuwa na vizazi kumi na nne kuanzia kwa Daudi mpaka wakati wa uhamisho wa Babeli. Na palikuwa na vizazi kumi na nne tangu uhamisho wa Babeli mpaka wakati alipozaliwa Yesu, Masihi."
"New","40","1","18","Kuzaliwa kwa Yesu Masihi, kulikuwa hivi: Mariamu mama yake alikuwa amechumbiwa na Yusufu. Kabla hawajaoana, Yusufu aligundua kuwa Mariamu alikuwa mja mzito. (Yeye alipata mimba kwa uweza wa Roho Mtakatifu.)"
"New","40","1","19","Kwa kuwa Yusufu alitaka kufanya kile kilichokuwa, alikusudia kumwacha Mariamu kwa siri bila ya kumvunjia heshima."
"New","40","1","20","Lakini baada ya Yusufu kuliwazia jambo hili, Malaika wa Bwana alimjia katika ndoto na akamwambia, “Yusufu mwana wa Daudi, usiogope kumchukua Mariamu awe mke wako. Mimba aliyonayo ameipata kwa uweza wa Roho Mtakatifu."
"New","40","1","21","Atamzaa mwana, nawe utamwita Yesu. Utampa jina hilo Yesu kwa sababu yeye atawaokoa watu wake kutoka dhambi zao.”"
"New","40","1","22","Haya yote yalitokea ili kutimiza maneno ambayo Bwana aliyasema kupitia kwa nabii aliposema:"
"New","40","1","23","“Sikiliza! Msichana bikira atapata mimba na atazaa mtoto wa kiume. Mtoto huyo ataitwa Emanueli.” (Yaani “Mungu yu pamoja nasi”.)"
"New","40","1","24","Yusufu alipoamka alifanya kama alivyoelekezwa na Malaika wa Bwana. Alimuoa Mariamu."
"New","40","1","25","Lakini hakukutana naye kimwili mpaka Mariamu alipomzaa mwana. Na Yusufu akamwita Yesu."
"New","40","2","1","Yesu alizaliwa katika mji wa Bethlehemu ya Uyahudi wakati Herode alipokuwa mfalme. Baada ya Yesu kuzaliwa, baadhi ya wenye hekima kutoka mashariki walikuja Yerusalemu."
