Testament,Book,Chapter,Verse,Content
"Old","1","1","1","U početku stvori Bog nebo i zemlju."
"Old","1","1","2","A zemlja bješe bez obličja i pusta, i bješe tama nad bezdanom; i duh Božji dizaše se nad vodom."
"Old","1","1","3","I reče Bog: neka bude svjetlost. I bi svjetlost."
"Old","1","1","4","I vidje Bog svjetlost da je dobra; i rastavi Bog svjetlost od tame."
"Old","1","1","5","I svjetlost nazva Bog dan, a tamu nazva noć. I bi veče i bi jutro, dan prvi."
"Old","1","1","6","Potom reče Bog: neka bude svod posred vode, da rastavlja vodu od vode."
"Old","1","1","7","I stvori Bog svod, i rastavi vodu pod svodom od vode nad svodom; i bi tako."
"Old","1","1","8","A svod nazva Bog nebo. I bi veče i bi jutro, dan drugi."
"Old","1","1","9","Potom reče Bog: neka se sabere voda što je pod nebom na jedno mjesto, i neka se pokaže suho. I bi tako."
"Old","1","1","10","I suho nazva Bog zemlja, a zborišta vodena nazva mora; i vidje Bog da je dobro."
"Old","1","1","11","Opet reče Bog: neka pusti zemlja iz sebe travu, bilje, što nosi sjeme, i drvo rodno, koje rađa rod po svojim vrstama, u kojem će biti sjeme njegovo na zemlji. I bi tako."
"Old","1","1","12","I pusti zemlja iz sebe travu, bilje, što nosi sjeme po svojim vrstama, i drvo, koje rađa rod, u kojem je sjeme njegovo po njegovijem vrstama. I vidje Bog da je dobro."
"Old","1","1","13","I bi veče i bi jutro, dan treći."
"Old","1","1","14","Potom reče Bog: neka budu vidjela na svodu nebeskom, da dijele dan i noć, da budu znaci vremenima i danima i godinama;"
"Old","1","1","15","I neka svijetle na svodu nebeskom, da obasjavaju zemlju. I bi tako."
"Old","1","1","16","I stvori Bog dva vidjela velika: vidjelo veće da upravlja danom, i vidjelo manje da upravlja noću, i zvijezde."
"Old","1","1","17","I postavi ih Bog na svodu nebeskom da obasjavaju zemlju."
"Old","1","1","18","I da upravljaju danom i noću, i da dijele svjetlost od tame. I vidje Bog da je dobro."
"Old","1","1","19","I bi veče i bi jutro, dan četvrti."
"Old","1","1","20","Potom reče Bog: neka vrve po vodi žive duše, i ptice neka lete iznad zemlje pod svod nebeski."
"Old","1","1","21","I stvori Bog kitove velike i sve žive duše što se miču, što provrvješe po vodi po vrstama svojim, i sve ptice krilate po vrstama njihovijem. I vidje Bog da je dobro;"
"Old","1","1","22","I blagoslovi ih Bog govoreći: rađajte se i množite se, i napunite vodu po morima, i ptice neka se množe na zemlji."
"Old","1","1","23","I bi veče i bi jutro, dan peti."
"Old","1","1","24","Potom reče Bog: neka zemlja pusti iz sebe duše žive po vrstama njihovijem, stoku i sitne životinje i zvijeri zemaljske po vrstama njihovijem. I bi tako."
"Old","1","1","25","I stvori Bog zvijeri zemaljske po vrstama njihovijem, i stoku po vrstama njezinijem, i sve sitne životinje na zemlji po vrstama njihovijem. I vidje Bog da je dobro."
"Old","1","1","26","Potom reče Bog: da načinimo čovjeka po svojemu obličju, kao što smo mi, koji će biti gospodar od riba morskih i od ptica nebeskih i od stoke i od cijele zemlje i od svijeh životinja što se miču po zemlji."
"Old","1","1","27","I stvori Bog čovjeka po obličju svojemu, po obličju Božijemu stvori ga; muško i žensko stvori ih."
