Matthew1:1 アブラハムの子であるダビデの子、イエス・キリストの系図。 
Matthew1:2 アブラハムはイサクの父であり、イサクはヤコブの父、ヤコブはユダとその兄弟たちとの父、 
Matthew1:3 ユダはタマルによるパレスとザラとの父、パレスはエスロンの父、エスロンはアラムの父、 
Matthew1:4 アラムはアミナダブの父、アミナダブはナアソンの父、ナアソンはサルモンの父、 
Matthew1:5 サルモンはラハブによるボアズの父、ボアズはルツによるオベデの父、オベデはエッサイの父、 
Matthew1:6 エッサイはダビデ王の父であった。ダビデはウリヤの妻によるソロモンの父であり、 
Matthew1:7 ソロモンはレハベアムの父、レハベアムはアビヤの父、アビヤはアサの父、 
Matthew1:8 アサはヨサパテの父、ヨサパテはヨラムの父、ヨラムはウジヤの父、 
Matthew1:9 ウジヤはヨタムの父、ヨタムはアハズの父、アハズはヒゼキヤの父、 
Matthew1:10 ヒゼキヤはマナセの父、マナセはアモンの父、アモンはヨシヤの父、 
Matthew1:11 ヨシヤはバビロンへ移されたころ、エコニヤとその兄弟たちとの父となった。 
Matthew1:12 バビロンへ移されたのち、エコニヤはサラテルの父となった。サラテルはゾロバベルの父、 
Matthew1:13 ゾロバベルはアビウデの父、アビウデはエリヤキムの父、エリヤキムはアゾルの父、 
Matthew1:14 アゾルはサドクの父、サドクはアキムの父、アキムはエリウデの父、 
Matthew1:15 エリウデはエレアザルの父、エレアザルはマタンの父、マタンはヤコブの父、 
Matthew1:16 ヤコブはマリヤの夫ヨセフの父であった。このマリヤからキリストといわれるイエスがお生れになった。 
Matthew1:17 だから、アブラハムからダビデまでの代は合わせて十四代、ダビデからバビロンへ移されるまでは十四代、そして、バビロンへ移されてからキリストまでは十四代である。 
Matthew1:18 イエス・キリストの誕生の次第はこうであった。母マリヤはヨセフと婚約していたが、まだ一緒にならない前に、聖霊によって身重になった。 
Matthew1:19 夫ヨセフは正しい人であったので、彼女のことが公けになることを好まず、ひそかに離縁しようと決心した。 
Matthew1:20 彼がこのことを思いめぐらしていたとき、主の使が夢に現れて言った、「ダビデの子ヨセフよ、心配しないでマリヤを妻として迎えるがよい。その胎内に宿っているものは聖霊によるのである。 
Matthew1:21 彼女は男の子を産むであろう。その名をイエスと名づけなさい。彼は、おのれの民をそのもろもろの罪から救う者となるからである」。 
Matthew1:22 すべてこれらのことが起ったのは、主が預言者によって言われたことの成就するためである。すなわち、 
Matthew1:23 「見よ、おとめがみごもって男の子を産むであろう。その名はインマヌエルと呼ばれるであろう」。これは、「神われらと共にいます」という意味である。 
